tribunal,grau,numero,classe,orgao,ano_ajuizamento,duracao_dias,qtd_movimentos,desfecho
TRF3,JE,00024133620114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2013.0,503.0,32,favorável
TRF3,JE,00024307220114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,485.0,26,favorável
TRF3,JE,00024348020094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,83.0,30,desfavorável
TRF3,JE,00025213620094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,1073.0,19,favorável
TRF3,JE,00025282820094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,882.0,17,desfavorável
TRF3,JE,00025318020094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,165.0,18,desfavorável
TRF3,JE,00025517120094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,257.0,6,sem sentença identificada
TRF3,JE,00025551120094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,257.0,6,sem sentença identificada
TRF3,JE,00025557420104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,1005.0,23,favorável
TRF3,JE,00025618120104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,1004.0,25,favorável
TRF3,JE,00024547120094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,311.0,24,desfavorável
TRF3,JE,00024859120094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,1258.0,25,favorável
TRF3,JE,00026423020104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,439.0,15,desfavorável
TRF3,JE,00025464920094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,947.0,54,favorável
TRF3,JE,00025530720104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,883.0,17,desfavorável
TRF3,JE,00025886420104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,806.0,23,sem sentença identificada
TRF3,JE,00026512620094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,490.0,9,desfavorável
